"videoId","title","author","viewCount","likes","dislikes","tags","lengthSeconds","ImageClasses","TextDensity","Liveliness","SubjectSize","BGLightingRatio","Brightness","BGColorSimplicity","VoiceFrequencies","NonVoiceFrequencies","IsEducational"
"Lgu0Khmw-O0","UniNettuno - Basi di dati - Lezione 1","SamOfNettuno",14898,23,1,"[""ingegneria"",""uninettuno"",""nettuno"",""basi"",""di"",""dati""]",2562,"{""library"":0.47174534,""scoreboard"":0.49501076,""cash_machine"":0.9346145}","0.06048542759336572","0.683882978692157","0.2150181917862838","0.31830808229525875","106.47103502972581","0.6726349427972463","3.935983963883152","0.6220703721046448",1
"HNwswChPONo","UniNettuno - Basi di dati - Lezione 16","SamOfNettuno",2584,4,0,"[""ingegneria"",""uninettuno"",""nettuno"",""basi"",""di"",""dati""]",2514,,"0.19275732613448177","2.9621193661248832","0.20791086307947604","0.2869358218664208","115.90228528934087","0.696418000609045","9.126192189390192","0.64584881067276",1
"Z5bTMIdn8O4","Calcolo di un integrale definito","Giulio Broccoli",19505,120,7,"[""Video Lezioni di matematica cura Giulio D. Broccoli"",""matematica"",""facileesercizi"",""svolti"",""funzioni"",""geometria analitica"",""integrali"",""limiti"",""disequazioni"",""matrici"",""equazioni"",""sistemi lineari"",""integrale definito"",""integrale indefinito""]",358,,"0.002263933059397418","0.00000000000","0.20747735343686038","0.09106149661069461","188.49853046094412","0.6569568504442779","15.703234348397535","1.0359872579574585",1
"hI9CaQD7P6I","Proof that 1 = 2.","John Hush",1513966,41679,2727,"[""proof;"",""2;"",""Mr."",""John"",""Hush""]",179,,"9.72712326795357e-05","0.11820781249238232","0.16492096994207628","0.11186460320381826","150.12695141239027","0.6960928891115699","21.05153409320076","1.8934366703033447",1
"BxpjA9t4dJE","Simple Pure CSS Spinners","Traversy Media",37553,2397,18,"[""css spinners"",""css loaders"",""css"",""css3"",""css animation"",""css keyframes"",""css loading"",""loading spinner""]",903,"{""dishwasher"":0.4760098,""web_site"":0.9653139}","1.4374593841263378e-05","0.13496031535318373","0.15702998671059326","0.3805705990789067","103.007525219368","0.8544447362278238","26.33599828837009","1.7165263891220093",1
"mQ-8gnnieRA","$50 Fake MacBook Pro vs $1,500 MacBook Pro","Jonathan Morrison",3873802,41270,6182,"[""Apple"",""MacBook Pro"",""Fake MacBook"",""Fake MacBook Pro"",""MacBook Pro Clone"",""MacBook Pro Dummy"",""Tech"",""Unboxing"",""2017"",""iPhone"",""Fake iPhone"",""iphone 7"",""samsung"",""iphone 7 plus"",""airpods"",""mac"",""macbook"",""gadgets"",""android"",""new macbook pro"",""fake"",""best"",""jonathan morrison"",""tld"",""jet black airpods"",""samsung galaxy s8"",""samsung galaxy s8 unboxing"",""pro"",""video"",""airpods review"",""review"",""technology"",""2016"",""2016 macbook pro"",""touch bar""]",267,"{""vacuum"":0.8184905,""cleaver"":0.9126509}","0.006747276918925913","0.48496745384779555","0.21331562849552568","0.37937519558773974","99.38583712015296","0.6091449128448921","32.356354985637445","2.51511812210083",0
"eTOKcxIujgE","Eros Ramazzotti - Più Bella Cosa (videoclip)","ErosRamazzottiVEVO",53683505,149219,8831,"[""Eros Ramazzotti"",""Più Bella Cosa"",""Pop"",""Sony BMG Music Entertainment""]",266,"{""acoustic_guitar"":0.8582563,""trailer_truck"":0.9744465,""tow_truck"":0.80617934,""cliff_dwelling"":0.92196256,""abaya"":0.7102488,""apiary"":0.9326531,""butcher_shop"":0.7884421,""wreck"":0.9986481,""dam"":0.82536656,""four-poster"":0.8033239,""African_hunting_dog"":0.87104625,""triceratops"":0.7817613,""cowboy_hat"":0.7125416,""toaster"":0.76431113,""lumbermill"":0.7084928}","0.004991779227552417","0.6722453706404742","0.19948944376361652","0.2714747767461156","130.39137578295203","0.6832709865196092","70.61956591663956","4.8214616775512695",0
"dUFxaQc7B8k","Top 10 Longest any% Speedruns","EZScape",564390,6711,1110,"[""Super Mario 64"",""SM64"",""any%"",""speedrun"",""Biggest"",""Skips"",""Glitches"",""Glitch"",""Speedrunning"",""Top 10"",""Banjo"",""Spyro"",""Crash"",""Jak and Daxter"",""Legend of Zelda"",""Link's Awakening"",""Super"",""Mario"",""World"",""Donkey"",""Kong"",""64"",""Sonic"",""06"",""Meat"",""Boy"",""Pokemon"",""Dark"",""Souls"",""Legend of Dragoon"",""Pokemon Stadium 2"",""Xenogears"",""Dragon Quest"",""Final"",""Fantasy"",""Gran Turismo"",""ezscape""]",680,"{""home_theater"":0.46501118,""birdhouse"":0.54356307,""book_jacket"":0.48619047,""fountain"":0.8720079,""jellyfish"":0.62678707,""television"":0.50553644,""monitor"":0.55208373,""slot"":0.62558436,""matchstick"":0.55327135,""menu"":0.99480903,""otter"":0.45643148,""goldfish"":0.4529945,""candle"":0.48201317,""great_grey_owl"":0.68450373,""peacock"":0.6776592,""teddy"":0.6763957,""scoreboard"":0.96751547,""volcano"":0.6684126,""flagpole"":0.5119877,""sea_lion"":0.7046701,""web_site"":0.9812366,""spotlight"":0.45575616,""vending_machine"":0.92694473}","0.000650296629839058","2.934279295722187","0.2057415788633461","0.7095165264459341","80.43286621634206","0.6048044912728825","56.498342187112215","3.6733238697052",0
"STpKoVY2ri8","Mastered UI Goku vs All Goku's Transformations - DragonBall Xenoverse 2","BjornTheBear",1988283,17427,1552,"[""xenoverse 2"",""dragon ball super"",""goku"",""jiren"",""vegeta"",""manga"",""anime"",""new dragon ball movie""]",981,"{""fountain"":0.8659899,""pinwheel"":0.7236689,""jellyfish"":0.57454205,""bow"":0.4894294,""toyshop"":0.5306973,""horizontal_bar"":0.49156588,""ski"":0.9186756,""dragonfly"":0.5036768,""syringe"":0.69687206,""altar"":0.88445365,""bubble"":0.8495925,""traffic_light"":0.4718774,""volcano"":0.61944234,""shower_curtain"":0.8653209,""hair_slide"":0.7467053,""handkerchief"":0.5374533,""book_jacket"":0.67606294,""broom"":0.9751863,""torch"":0.69705564,""jigsaw_puzzle"":0.5017154,""cocktail_shaker"":0.4829137,""butcher_shop"":0.5241143,""flute"":0.50255513,""swing"":0.8482058,""parachute"":0.50575495,""theater_curtain"":0.4611992,""stage"":0.8454659,""maypole"":0.45285264,""comic_book"":0.8136018,""paintbrush"":0.4645533,""damselfly"":0.51775795,""feather_boa"":0.829106}","0.0008077544426494346","4.285957586014213","0.19928210823909548","0.3202349952675984","147.73923554666464","0.5830469591410885","95.72988527381199","5.871003150939941",0
"DtNXCvUNMFM","Top 100 Goals Of 2017/18 Season","Notelicioux",362799,4597,156,"[""notelicioux"",""top 100 goals"",""top 100 goals of 2017/18 season"",""best goals"",""best goals 2018"",""best goals 2017/18"",""best"",""goals"",""2017/18"",""2018"",""top 100 goals football"",""best goals football"",""best goals soccer"",""top goals 2018"",""top goals 2017/18"",""amazing goal"",""salah"",""messi"",""cristiano ronaldo"",""ibrahimovic"",""neymar"",""football""]",1582,"{""television"":0.79833317,""oscilloscope"":0.92857456,""ballplayer"":0.7919874,""monitor"":0.94340235,""scoreboard"":0.98288053,""lab_coat"":0.86224043,""web_site"":0.89214534}","0.0035540079717784963","3.127188651551046","0.1820781074831838","0.4363126019264405","98.26571642804885","0.6003520231273882","115.82595935456733","17.197418212890625",0
